date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:53	66064/66064	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:03:53%20GMT	https://thevistalogos.com/	D:/www.thevistalogos.com/thevistalogos.com/index.html	(from )
23:03:53	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5d1290003dda3%22	https://thevistalogos.com/robots.txt		(from )
23:03:54	1378/1378	---M--	200	added ('OK')	image/png	etag:%22562-5d128fff6ed02%22	https://thevistalogos.com/assets/img/favicon/favicon-16x16.png	D:/www.thevistalogos.com/thevistalogos.com/assets/img/favicon/favicon-16x16.png	(from https://thevistalogos.com/)
23:03:54	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	D:/www.thevistalogos.com/use.fontawesome.com/releases/v5.8.2/css/all.css	(from https://thevistalogos.com/)
23:03:54	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-31fb%22	http://cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.6/jquery.fancybox.min.css	D:/www.thevistalogos.com/cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.6/jquery.fancybox.min.css	(from https://thevistalogos.com/)
23:03:55	3003/3003	---M-Z	200	added ('OK')	text/css	etag:%225eb03e1e-bbb%22	http://cdnjs.cloudflare.com/ajax/libs/bxslider/4.2.15/jquery.bxslider.min.css	D:/www.thevistalogos.com/cdnjs.cloudflare.com/ajax/libs/bxslider/4.2.15/jquery.bxslider.min.css	(from https://thevistalogos.com/)
23:03:56	111064/111064	---M--	200	added ('OK')	text/css	etag:%221b1d8-5d128fff5953e%22	https://thevistalogos.com/assets/css/style.css	D:/www.thevistalogos.com/thevistalogos.com/assets/css/style.css	(from https://thevistalogos.com/)
23:03:56	525986/525986	---M--	200	added ('OK')	text/css	etag:%22806a2-5d128fff5859e%22	https://thevistalogos.com/assets/css/plugins.css	D:/www.thevistalogos.com/thevistalogos.com/assets/css/plugins.css	(from https://thevistalogos.com/)
23:03:56	29462/29462	---M--	200	added ('OK')	text/css	etag:%227316-5d128fff5859e%22	https://thevistalogos.com/assets/css/responsive.css	D:/www.thevistalogos.com/thevistalogos.com/assets/css/responsive.css	(from https://thevistalogos.com/)
23:03:56	10560/10560	---M--	200	added ('OK')	text/css	etag:%222940-5d128fff5859e%22	https://thevistalogos.com/assets/css/ledge/sweetalert.css	D:/www.thevistalogos.com/thevistalogos.com/assets/css/ledge/sweetalert.css	(from https://thevistalogos.com/)
23:03:57	6741/6741	---M-Z	200	added ('OK')	text/css	etag:%22659946f7-bda%22	http://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	D:/www.thevistalogos.com/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	(from https://thevistalogos.com/)
23:03:58	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	http://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	D:/www.thevistalogos.com/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://thevistalogos.com/)
23:03:59	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-3f5%22	http://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	D:/www.thevistalogos.com/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.theme.default.min.css	(from https://thevistalogos.com/)
23:03:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2021%20May%202024%2018:03:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/www.thevistalogos.com/www.googletagmanager.com/gtm.b5445.delayed	(from https://thevistalogos.com/)
23:04:00	6513/6513	---M--	200	added ('OK')	image/png	etag:%221971-5d128fff6fca2%22	https://thevistalogos.com/assets/img/logo.png	D:/www.thevistalogos.com/thevistalogos.com/assets/img/logo.png	(from https://thevistalogos.com/)
23:04:00	75637/75637	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:00%20GMT	https://thevistalogos.com/logo_design	D:/www.thevistalogos.com/thevistalogos.com/logo_design.html	(from https://thevistalogos.com/)
23:04:02	119015/119015	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:01%20GMT	https://thevistalogos.com/web_design	D:/www.thevistalogos.com/thevistalogos.com/web_design.html	(from https://thevistalogos.com/)
23:04:02	70944/70944	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:02%20GMT	https://thevistalogos.com/video_animation	D:/www.thevistalogos.com/thevistalogos.com/video_animation.html	(from https://thevistalogos.com/)
23:04:02	68492/68492	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:02%20GMT	https://thevistalogos.com/branding	D:/www.thevistalogos.com/thevistalogos.com/branding.html	(from https://thevistalogos.com/)
23:04:03	63821/63821	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:03%20GMT	https://thevistalogos.com/seo	D:/www.thevistalogos.com/thevistalogos.com/seo.html	(from https://thevistalogos.com/)
23:04:03	65510/65510	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:03%20GMT	https://thevistalogos.com/portfolio	D:/www.thevistalogos.com/thevistalogos.com/portfolio.html	(from https://thevistalogos.com/)
23:04:04	220585/220585	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:03%20GMT	https://thevistalogos.com/pricing	D:/www.thevistalogos.com/thevistalogos.com/pricing.html	(from https://thevistalogos.com/)
23:04:05	31031/31031	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:04%20GMT	https://thevistalogos.com/contact	D:/www.thevistalogos.com/thevistalogos.com/contact.html	(from https://thevistalogos.com/)
23:04:05	4776/4776	---M--	200	added ('OK')	text/html	etag:%2212a8-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/01.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/01.html	(from https://thevistalogos.com/)
23:04:05	14268/14268	---M--	200	added ('OK')	text/html	etag:%2237bc-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/02.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/02.html	(from https://thevistalogos.com/)
23:04:05	9362/9362	---M--	200	added ('OK')	text/html	etag:%222492-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/03.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/03.html	(from https://thevistalogos.com/)
23:04:05	22372/22372	---M--	200	added ('OK')	text/html	etag:%225764-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/04.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/04.html	(from https://thevistalogos.com/)
23:04:06	4628/4628	---M--	200	added ('OK')	text/html	etag:%221214-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/05.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/05.html	(from https://thevistalogos.com/)
23:04:06	7126/7126	---M--	200	added ('OK')	text/html	etag:%221bd6-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/06.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/06.html	(from https://thevistalogos.com/)
23:04:06	11824/11824	---M--	200	added ('OK')	text/html	etag:%222e30-5d128fffd74f2%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/07.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/07.html	(from https://thevistalogos.com/)
23:04:06	12478/12478	---M--	200	added ('OK')	text/html	etag:%2230be-5d128fffd8493%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/08.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/08.html	(from https://thevistalogos.com/)
23:04:07	11432/11432	---M--	200	added ('OK')	text/html	etag:%222ca8-5d128fffd8493%22	https://thevistalogos.com/assets/img/portfolio/logo/webp/09.webp	D:/www.thevistalogos.com/thevistalogos.com/assets/img/portfolio/logo/webp/09.html	(from https://thevistalogos.com/)
23:04:07	30944/30944	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:07%20GMT	https://thevistalogos.com/order/terms	D:/www.thevistalogos.com/thevistalogos.com/order/terms.html	(from https://thevistalogos.com/)
23:04:08	14091/14091	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2018:04:07%20GMT	https://thevistalogos.com/order/privacy	D:/www.thevistalogos.com/thevistalogos.com/order/privacy.html	(from https://thevistalogos.com/)
